638OrV0KtFGrxvLoAUvxCY,Shotgun Blues,Use Your Illusion II,rock,Guns N' Roses,203000
4vtXsXvSYaTfKQ0dJXbJGu,Dust N' Bones,Use Your Illusion I,rock,Guns N' Roses,298160
5bGxSfPQfAsC6sBcHT3aZs,Pretty Tied Up (The Perils Of Rock N' Roll Decadence),Use Your Illusion II,rock,Guns N' Roses,287907
2FEWcWHnDmGD6WSqpW4VYu,This I Love,Chinese Democracy,rock,Guns N' Roses,334373
1JIQmOrYNMohZ8oygnm9Bg,Move To The City - Live In Japan / 1992,Live Era '87-'93,rock,Guns N' Roses,475963
2da7wnI5OoV89TsdKMM81k,Knockin' On Heaven's Door - Live In London / 1992,Live Era '87-'93,rock,Guns N' Roses,447160
0yqcmfdOv3RuDXKaloCKxY,Sweet Child O' Mine - Live In Paris / 1992,Live Era '87-'93,rock,Guns N' Roses,445173
7xKNLe9qqIIEW3I83x4crd,Reckless Life (Original Demo Version),The Roots of Guns ‘n Roses,rock,Hollywood Rose,280195
7rdtBpPpe4knfd7aD98h9X,Take Me to Your Heart,Michael Learns To Rock,rock,Michael Learns To Rock,240640
44OKaUDVpDynn3LWNIwqMO,The Actor - 2014 Remastered Version,25,rock,Michael Learns To Rock,275000
65PbE3qfKElGTcweQMmbzf,Sleeping Child - 2014 Remastered Version,25,rock,Michael Learns To Rock,216000
6lxOK8iqm78PEN2bXcjSEK,25 Minutes - 2014 Remastered Version,25,rock,Michael Learns To Rock,264000
1v0lDRJHo9mptTxoGFCQ7Y,Complicated Heart - 2014 Remastered Version,25,rock,Michael Learns To Rock,267000
4N73fgEEennudER9hXnHOI,Out of the Blue - 2014 Remastered Version,25,rock,Michael Learns To Rock,241000
4qg1esFGKNCCRYGVVNrIin,That's Why (You Go Away) - 2014 Remastered Version,25,rock,Michael Learns To Rock,254000
5XI2EIihxzTlKLR4UUhedn,I'm Gonna Be Around - 2014 Remastered Version,25,rock,Michael Learns To Rock,262000
02AT1Z0nscuElXMWBEzEKu,Paint My Love - 2014 Remastered Version,25,rock,Michael Learns To Rock,231000
3FPiGFT19WRb4D0bZlw9PJ,You Took My Heart Away - 2014 Remastered Version,25,rock,Michael Learns To Rock,272000
7dQC53NiYOY9gKg3Qsu2Bs,All Out of Love,Lost in Love,rock,Air Supply,243000
36lkJSDyMEZoWTqtRj8Q8q,You're the Inspiration - 2006 Remaster,Chicago 17 (Expanded & Remastered),rock,Chicago,229240
7xUVverKyPPPAW3sDqXhfi,Truly Madly Deeply,Truly Madly Completely - The Best of Savage Garden,rock,Savage Garden,279400
40b31eggZB30hoqXhGm4qc,Band On The Run - Remastered 2010,Band On The Run (Standard),rock,Paul McCartney,313027
1chu8wc9zbNqTQ2ahROys1,My Sweet Lord,All Things Must Pass (Remastered),rock,George Harrison,281227
3D9iV6cYkYJRAPFO6DRKIE,Jealous Guy - Remastered 2010,Imagine,rock,John Lennon,257787
1hwN2eAwsXgktvw9Qe8TrP,Photograph,Ringo,rock,Ringo Starr,239760
4k9pqSKBHYdTGjzNeRyQ0o,How? - Remastered 2010,Imagine,rock,John Lennon,226280
